"id";"address";"year_code";"sido";"gugun"
0;"서울일원초등학교 학교정문 옆";19;"서울특별시";"강남구"
1;"서울자곡초등학교 학교정문 앞";19;"서울특별시";"강남구"
2;"서울대진초등학교 학교정문 앞";19;"서울특별시";"강남구"
3;"서울논현초등학교 학교정문 옆";19;"서울특별시";"강남구"
4;"서울대왕초등학교 학교정문 옆";19;"서울특별시";"강남구"
5;"서울구룡초등학교 학교정문 옆";19;"서울특별시";"강남구"
6;"서울개일초등학교 학교정문 옆";20;"서울특별시";"강남구"
7;"서울대도초등학교 학교정문 옆";20;"서울특별시";"강남구"
8;"서울대청초등학교 학교정문 옆";20;"서울특별시";"강남구"
9;"서울대모초등학교 학교정문 옆";20;"서울특별시";"강남구"
10;"서울삼릉초등학교 학교정문 옆";20;"서울특별시";"강남구"
11;"서울수서초등학교 학교정문 옆";20;"서울특별시";"강남구"
12;"서울신구초등학교 학교정문 옆";20;"서울특별시";"강남구"
13;"서울왕북초등학교 학교정문 옆";20;"서울특별시";"강남구"
14;"서울언주초등학교 학교정문 옆";20;"서울특별시";"강남구"
15;"서울영희초등학교 학교정문 옆";20;"서울특별시";"강남구"
16;"서울율현초등학교 학교정문 옆";20;"서울특별시";"강남구"
17;"서울청담초등학교 학교정문 옆";20;"서울특별시";"강남구"
18;"서울세명초등학교 학교정문 옆";20;"서울특별시";"강남구"
19;"서울언북초등학교 학교정문 옆";20;"서울특별시";"강남구"
20;"서울도성초등학교 학교정문 옆";20;"서울특별시";"강남구"
21;"서울포이초등학교 학교정문 옆";20;"서울특별시";"강남구"
22;"서울대치초등학교 학교정문 옆";20;"서울특별시";"강남구"
23;"서울압구정초등학교 학교정문 옆";20;"서울특별시";"강남구"
24;"오현로 9 (정문앞)";17;"서울특별시";"강북구"
25;"오현로 204 (정문앞)";18;"서울특별시";"강북구"
26;"솔샘로 195 (후문앞)";18;"서울특별시";"강북구"
27;"인수봉로 269 (정문앞)";18;"서울특별시";"강북구"
28;"삼양로99길 36 (후문앞)";19;"서울특별시";"강북구"
29;"호암로 498";15;"서울특별시";"관악구"
30;"관악로5길 61";16;"서울특별시";"관악구"
31;"문성로 79";17;"서울특별시";"관악구"
32;"성현로 117";17;"서울특별시";"관악구"
33;"구암길 1";17;"서울특별시";"관악구"
34;"조원로 67";17;"서울특별시";"관악구"
35;"난곡로35길 10";17;"서울특별시";"관악구"
36;"봉천로 505 ";17;"서울특별시";"관악구"
37;"광신길 177 ";17;"서울특별시";"관악구"
38;"성현로 117 ";17;"서울특별시";"관악구"
39;"난향길 9";17;"서울특별시";"관악구"
40;"남현4길 51";18;"서울특별시";"관악구"
41;"성현로 117 ";18;"서울특별시";"관악구"
42;"보라매로 35";18;"서울특별시";"관악구"
43;"보라매로 35";18;"서울특별시";"관악구"
44;"낙성대로3길 37";18;"서울특별시";"관악구"
45;"구암길 1";19;"서울특별시";"관악구"
46;"부일로 893";16;"서울특별시";"구로구"
47;"서해안로24길 22";17;"서울특별시";"구로구"
48;"고척로 213";17;"서울특별시";"구로구"
49;"구일로 68";17;"서울특별시";"구로구"
50;"신도림로19길 44";17;"서울특별시";"구로구"
51;"중앙로 6";17;"서울특별시";"구로구"
52;"구로중앙로27나길 9";18;"서울특별시";"구로구"
53;"고척로33길 34";18;"서울특별시";"구로구"
54;"구로중앙로14길 43";18;"서울특별시";"구로구"
55;"새말로 73";19;"서울특별시";"구로구"
56;"가마산로27길 69";19;"서울특별시";"구로구"
57;"천왕로1길 11";19;"서울특별시";"구로구"
58;"경인로46길 13";19;"서울특별시";"구로구"
59;"고척로21길 55";19;"서울특별시";"구로구"
60;"신도림로 26";19;"서울특별시";"구로구"
61;"도림로20길 57";19;"서울특별시";"구로구"
62;"오리로 1106";19;"서울특별시";"구로구"
63;"연동로 178";20;"서울특별시";"구로구"
64;"디지털로27길 76";20;"서울특별시";"구로구"
65;"경인로2길 10";20;"서울특별시";"구로구"
66;"서울독산초등학교";19;"서울특별시";"금천구"
67;"서울탑동초등학교";19;"서울특별시";"금천구"
68;"서울금산초등학교";19;"서울특별시";"금천구"
69;"서울정심초등학교";19;"서울특별시";"금천구"
70;"서울문교초등학교";16;"서울특별시";"금천구"
71;"서울문성초등학교";17;"서울특별시";"금천구"
72;"서울신흥초등학교";16;"서울특별시";"금천구"
73;"서울백산초등학교";16;"서울특별시";"금천구"
74;"서울가산초등학교";16;"서울특별시";"금천구"
75;"서울두산초등학교";16;"서울특별시";"금천구"
76;"마들로 859-44";17;"서울특별시";"도봉구"
77;"구 도당로9길 34 방학초등학교";16;"서울특별시";"도봉구"
78;"노해로 179";18;"서울특별시";"도봉구"
79;"시루봉로 173";17;"서울특별시";"도봉구"
80;"방학로 247-21";17;"서울특별시";"도봉구"
81;"우이천로 120";17;"서울특별시";"도봉구"
82;"우이천로 360";18;"서울특별시";"도봉구"
83;"시루봉로 285";18;"서울특별시";"도봉구"
84;"노해로 70길 96";16;"서울특별시";"도봉구"
85;"구 마들로13길 166";16;"서울특별시";"도봉구"
86;"방학로 32-28";16;"서울특별시";"도봉구"
87;"해등로16길 81";17;"서울특별시";"도봉구"
88;"해등로 103";18;"서울특별시";"도봉구"
89;"노해로66길 84";17;"서울특별시";"도봉구"
90;"해등로 32길 11";16;"서울특별시";"도봉구"
91;"서울홍파초등학교";16;"서울특별시";"동대문구"
92;"서울이문초등학교";17;"서울특별시";"동대문구"
93;"서울휘봉초등학교";17;"서울특별시";"동대문구"
94;"서울전농초등학교";17;"서울특별시";"동대문구"
95;"서울남성초등학교";16;"서울특별시";"동작구"
96;"서울영본초등학교";16;"서울특별시";"동작구"
97;"서울본동초등학교";16;"서울특별시";"동작구"
98;"서울삼일초등학교";16;"서울특별시";"동작구"
99;"서울신길초등학교";16;"서울특별시";"동작구"
100;"서울동작초등학교";16;"서울특별시";"동작구"
101;"서울은로초등학교";16;"서울특별시";"동작구"
102;"서울신남성초등학교";16;"서울특별시";"동작구"
103;"서울보라매초등학교";16;"서울특별시";"동작구"
104;"서울대림초등학교";17;"서울특별시";"동작구"
105;"서울강남초등학교";17;"서울특별시";"동작구"
106;"서울신상도초등학교";18;"서울특별시";"동작구"
107;"서울행림초등학교";19;"서울특별시";"동작구"
108;"서울중동초등학교";16;"서울특별시";"마포구"
109;"서울공덕초등학교";16;"서울특별시";"마포구"
110;"서울염리초등학교";16;"서울특별시";"마포구"
111;"서울아현초등학교";16;"서울특별시";"마포구"
112;"서울성산초등학교";17;"서울특별시";"마포구"
113;"서울성원초등학교";17;"서울특별시";"마포구"
114;"서울고은초등학교";16;"서울특별시";"서대문구"
115;"서울홍연초등학교";16;"서울특별시";"서대문구"
116;"서울금화초등학교";16;"서울특별시";"서대문구"
117;"서울안산초등학교";16;"서울특별시";"서대문구"
118;"서울홍은초등학교";17;"서울특별시";"서대문구"
119;"서울연가초등학교";17;"서울특별시";"서대문구"
120;"서울북가좌초등학교";17;"서울특별시";"서대문구"
121;"서울연희초등학교";18;"서울특별시";"서대문구"
122;"서울연가초등학교";18;"서울특별시";"서대문구"
123;"서울영원초등학교";16;"서울특별시";"영등포구"
124;"서울대동초등학교";17;"서울특별시";"영등포구"
125;"서울영림초등학교";17;"서울특별시";"영등포구"
126;"서울대방초등학교";20;"서울특별시";"영등포구"
127;"서울문정초등학교";20;"서울특별시";"송파구"
128;"서울가주초등학교";20;"서울특별시";"송파구"
129;"서울오금초등학교";16;"서울특별시";"송파구"
130;"서울석촌초등학교";16;"서울특별시";"송파구"
131;"서울풍성초등학교";17;"서울특별시";"송파구"
132;"서울신가초등학교";17;"서울특별시";"송파구"
133;"서울아주초등학교";20;"서울특별시";"송파구"
134;"서울문현초등학교";19;"서울특별시";"송파구"
135;"서울거여초등학교";17;"서울특별시";"송파구"
136;"서울위례별초등학교";18;"서울특별시";"송파구"
137;"서울송전초등학교";19;"서울특별시";"송파구"
138;"서울송파초등학교";19;"서울특별시";"송파구"
139;"서울신천초등학교";19;"서울특별시";"송파구"
140;"서울영풍초등학교";19;"서울특별시";"송파구"
141;"서울풍납초등학교";19;"서울특별시";"송파구"
142;"서울거원초등학교";20;"서울특별시";"송파구"
143;"서울문덕초등학교";20;"서울특별시";"송파구"
144;"서울가동초등학교";20;"서울특별시";"송파구"
145;"서울광진초등학교";19;"서울특별시";"광진구"
146;"서울광장초등학교";16;"서울특별시";"광진구"
147;"서울성자초등학교";17;"서울특별시";"광진구"
148;"서울양남초등학교";17;"서울특별시";"광진구"
149;"서울신양초등학교";17;"서울특별시";"광진구"
150;"서울동자초등학교";17;"서울특별시";"광진구"
151;"세종초등학교";17;"서울특별시";"광진구"
152;"서울장안초등학교";17;"서울특별시";"광진구"
153;"서울동의초등학교";19;"서울특별시";"광진구"
154;"경복초등학교";18;"서울특별시";"광진구"
155;"서울구남초등학교";19;"서울특별시";"광진구"
156;"서울자양초등학교";19;"서울특별시";"광진구"
157;"서울광남초등학교";19;"서울특별시";"광진구"
158;"서울신자초등학교";19;"서울특별시";"광진구"
159;"서울양진초등학교";20;"서울특별시";"광진구"
160;"성동초등학교";17;"서울특별시";"광진구"
161;"서울경동초등학교";20;"서울특별시";"성동구"
162;"서울경수초등학교";18;"서울특별시";"성동구"
163;"서울경일초등학교";17;"서울특별시";"성동구"
164;"서울금북초등학교";19;"서울특별시";"성동구"
165;"서울금옥초등학교";17;"서울특별시";"성동구"
166;"서울금호초등학교";20;"서울특별시";"성동구"
167;"서울동명초등학교";20;"서울특별시";"성동구"
168;"서울동호초등학교";18;"서울특별시";"성동구"
169;"서울마장초등학교";20;"서울특별시";"성동구"
170;"서울무학초등학교";18;"서울특별시";"성동구"
171;"서울사근초등학교";20;"서울특별시";"성동구"
172;"서울성수초등학교";18;"서울특별시";"성동구"
173;"서울송원초등학교";18;"서울특별시";"성동구"
174;"서울숭신초등학교";17;"서울특별시";"성동구"
175;"서울옥수초등학교";17;"서울특별시";"성동구"
176;"서울옥정초등학교";20;"서울특별시";"성동구"
177;"서울용답초등학교";18;"서울특별시";"성동구"
178;"서울응봉초등학교";20;"서울특별시";"성동구"
179;"서울행당초등학교";18;"서울특별시";"성동구"
180;"서울행현초등학교";17;"서울특별시";"성동구"
