,주소,설치일
0,강남구 서울일원초등학교 학교정문 옆,2019-01-01
1,강남구 서울자곡초등학교 학교정문 앞,2019-01-01
2,강남구 서울대진초등학교 학교정문 앞,2019-01-01
3,강남구 서울논현초등학교 학교정문 옆,2019-01-01
4,강남구 서울대왕초등학교 학교정문 옆,2019-01-01
5,강남구 서울구룡초등학교 학교정문 옆,2019-01-01
6,강남구 서울개일초등학교 학교정문 옆,2020-01-01
7,강남구 서울대도초등학교 학교정문 옆,2020-01-01
8,강남구 서울대청초등학교 학교정문 옆,2020-01-01
9,강남구 서울대모초등학교 학교정문 옆,2020-01-01
10,강남구 서울삼릉초등학교 학교정문 옆,2020-01-01
11,강남구 서울수서초등학교 학교정문 옆,2020-01-01
12,강남구 서울신구초등학교 학교정문 옆,2020-01-01
13,강남구 서울왕북초등학교 학교정문 옆,2020-01-01
14,강남구 서울언주초등학교 학교정문 옆,2020-01-01
15,강남구 서울영희초등학교 학교정문 옆,2020-01-01
16,강남구 서울율현초등학교 학교정문 옆,2020-01-01
17,강남구 서울청담초등학교 학교정문 옆,2020-01-01
18,강남구 서울세명초등학교 학교정문 옆,2020-01-01
19,강남구 서울언북초등학교 학교정문 옆,2020-01-01
20,강남구 서울도성초등학교 학교정문 옆,2020-01-01
21,강남구 서울포이초등학교 학교정문 옆,2020-01-01
22,강남구 서울대치초등학교 학교정문 옆,2020-01-01
23,강남구 서울압구정초등학교 학교정문 옆,2020-01-01
24,서울특별시 강북구 오현로 9 (정문앞),2017-01-01
25,서울특별시 강북구 오현로 204 (정문앞),2018-01-01
26,서울특별시 강북구 솔샘로 195 (후문앞),2018-01-01
27,서울특별시 강북구 인수봉로 269 (정문앞),2018-01-01
28,서울특별시 강북구 삼양로99길 36 (후문앞),2019-01-01
29,서울특별시 관악구 호암로 498,2015-01-01
30,서울특별시 관악구 관악로5길 61,2016-01-01
31,서울특별시 관악구 문성로 79,2017-01-01
32,서울특별시 관악구 성현로 117,2017-01-01
33,서울특별시 관악구 구암길 1,2017-01-01
34,서울특별시 관악구 조원로 67,2017-01-01
35,서울특별시 관악구 난곡로35길 10,2017-01-01
36,서울특별시 관악구 봉천로 505 ,2017-01-01
37,서울특별시 관악구 광신길 177 ,2017-01-01
38,서울특별시 관악구 성현로 117 ,2017-01-01
39,서울특별시 관악구 난향길 9,2017-01-01
40,서울특별시 관악구 남현4길 51,2018-01-01
41,서울특별시 관악구 성현로 117 ,2018-01-01
42,서울특별시 관악구 보라매로 35,2018-01-01
43,서울특별시 관악구 보라매로 35,2018-01-01
44,서울특별시 관악구 낙성대로3길 37,2018-01-01
45,서울특별시 관악구 구암길 1,2019-01-01
46,서울특별시 구로구 부일로 893,2016-01-01
47,서울특별시 구로구 서해안로24길 22,2017-01-01
48,서울특별시 구로구 고척로 213,2017-01-01
49,서울특별시 구로구 구일로 68,2017-01-01
50,서울특별시 구로구 신도림로19길 44,2017-01-01
51,서울특별시 구로구 중앙로 6,2017-01-01
52,서울특별시 구로구 구로중앙로27나길 9,2018-01-01
53,서울특별시 구로구 고척로33길 34,2018-01-01
54,서울특별시 구로구 구로중앙로14길 43,2018-01-01
55,서울특별시 구로구 새말로 73,2019-01-01
56,서울특별시 구로구 가마산로27길 69,2019-01-01
57,서울특별시 구로구 천왕로1길 11,2019-01-01
58,서울특별시 구로구 경인로46길 13,2019-01-01
59,서울특별시 구로구 고척로21길 55,2019-01-01
60,서울특별시 구로구 신도림로 26,2019-01-01
61,서울특별시 구로구 도림로20길 57,2019-01-01
62,서울특별시 구로구 오리로 1106,2019-01-01
63,서울특별시 구로구 연동로 178,2020-01-01
64,서울특별시 구로구 디지털로27길 76,2020-01-01
65,서울특별시 구로구 경인로2길 10,2020-01-01
66,금천구 서울독산초등학교,2019-09-26
67,금천구 서울탑동초등학교,2019-09-26
68,금천구 서울금산초등학교,2019-09-26
69,금천구 서울정심초등학교,2019-09-26
70,금천구 서울문교초등학교,2016-06-07
71,금천구 서울문성초등학교,2017-09-21
72,금천구 서울신흥초등학교,2016-06-08
73,금천구 서울백산초등학교,2016-06-08
74,금천구 서울가산초등학교,2016-10-10
75,금천구 서울두산초등학교,2016-10-10
76, 도봉구 마들로 859-44,2017-10-20
77, 서울특별시 도봉구 도당로9길 34 방학초등학교,2016-06-09
78, 도봉구 노해로 179,2018-11-14
79, 도봉구 시루봉로 173,2017-07-14
80, 도봉구 방학로 247-21,2017-07-14
81, 도봉구 우이천로 120,2017-10-19
82, 도봉구 우이천로 360,2018-08-20
83, 도봉구 시루봉로 285,2018-07-24
84, 도봉구  노해로 70길 96,2016-11-21
85, 서울특별시 도봉구 마들로13길 166,2016-11-21
86, 도봉구 방학로 32-28,2016-10-19
87, 도봉구 해등로16길 81,2017-07-13
88, 도봉구 해등로 103,2018-11-14
89, 도봉구 노해로66길 84,2017-07-13
90, 도봉구  해등로 32길 11,2016-11-23
91,동대문구 서울홍파초등학교,2016-05-01
92,동대문구 서울이문초등학교,2017-04-01
93,동대문구 서울휘봉초등학교,2017-04-01
94,동대문구 서울전농초등학교,2017-04-01
95,동작구 서울남성초등학교,2016-05-01
96,동작구 서울영본초등학교,2016-05-01
97,동작구 서울본동초등학교,2016-05-01
98,동작구 서울삼일초등학교,2016-05-01
99,동작구 서울신길초등학교,2016-05-01
100,동작구 서울동작초등학교,2016-05-01
101,동작구 서울은로초등학교,2016-05-01
102,동작구 서울신남성초등학교,2016-05-01
103,동작구 서울보라매초등학교,2016-05-01
104,동작구 서울대림초등학교,2017-06-01
105,동작구 서울강남초등학교,2017-06-01
106,동작구 서울신상도초등학교,2018-11-01
107,동작구 서울행림초등학교,2019-06-01
108,마포구 서울중동초등학교,2016-05-18
109,마포구 서울공덕초등학교,2016-07-11
110,마포구 서울염리초등학교,2016-09-27
111,마포구 서울아현초등학교,2016-10-12
112,마포구 서울성산초등학교,2017-06-13
113,마포구 서울성원초등학교,2017-06-15
114,서대문구 서울고은초등학교,2016-01-01
115,서대문구 서울홍연초등학교,2016-01-01
116,서대문구 서울금화초등학교,2016-01-01
117,서대문구 서울안산초등학교,2016-01-01
118,서대문구 서울홍은초등학교,2017-01-01
119,서대문구 서울연가초등학교,2017-01-01
120,서대문구 서울북가좌초등학교,2017-01-01
121,서대문구 서울연희초등학교,2018-01-01
122,서대문구 서울연가초등학교,2018-01-01
123,영등포구 서울영원초등학교,2016-01-01
124,영등포구 서울대동초등학교,2017-01-01
125,영등포구 서울영림초등학교,2017-01-01
126,영등포구 서울대방초등학교,2020-01-01
127,송파구 서울문정초등학교,2020-11-30
128,송파구 서울가주초등학교,2020-11-30
129,송파구 서울오금초등학교,2016-10-20
130,송파구 서울석촌초등학교,2016-10-20
131,송파구 서울풍성초등학교,2017-06-21
132,송파구 서울신가초등학교,2017-06-22
133,송파구 서울아주초등학교,2020-11-30
134,송파구 서울문현초등학교,2019-11-27
135,송파구 서울거여초등학교,2017-06-23
136,송파구 서울위례별초등학교,2018-11-05
137,송파구 서울송전초등학교,2019-05-21
138,송파구 서울송파초등학교,2019-07-30
139,송파구 서울신천초등학교,2019-05-21
140,송파구 서울영풍초등학교,2019-12-20
141,송파구 서울풍납초등학교,2019-12-20
142,송파구 서울거원초등학교,2020-11-30
143,송파구 서울문덕초등학교,2020-11-30
144,송파구 서울가동초등학교,2020-11-30
145,광진구 서울광진초등학교,2019-01-01
146,광진구 서울광장초등학교,2016-01-01
147,광진구 서울성자초등학교,2017-01-01
148,광진구 서울양남초등학교,2017-01-01
149,광진구 서울신양초등학교,2017-01-01
150,광진구 서울동자초등학교,2017-01-01
151,광진구 세종초등학교,2017-01-01
152,광진구 서울장안초등학교,2017-01-01
153,광진구 서울동의초등학교,2019-01-01
154,광진구 경복초등학교,2018-01-01
155,광진구 서울구남초등학교,2019-01-01
156,광진구 서울자양초등학교,2019-01-01
157,광진구 서울광남초등학교,2019-01-01
158,광진구 서울신자초등학교,2019-01-01
159,광진구 서울양진초등학교,2020-01-01
160,광진구 성동초등학교,2017-01-01
161,성동구 서울경동초등학교,2020-08-30
162,성동구 서울경수초등학교,2018-04-30
163,성동구 서울경일초등학교,2017-09-26
164,성동구 서울금북초등학교,2019-07-05
165,성동구 서울금옥초등학교,2017-12-09
166,성동구 서울금호초등학교,2020-08-30
167,성동구 서울동명초등학교,2020-08-30
168,성동구 서울동호초등학교,2018-04-30
169,성동구 서울마장초등학교,2020-08-30
170,성동구 서울무학초등학교,2018-04-30
171,성동구 서울사근초등학교,2020-08-30
172,성동구 서울성수초등학교,2018-04-30
173,성동구 서울송원초등학교,2018-04-30
174,성동구 서울숭신초등학교,2017-10-18
175,성동구 서울옥수초등학교,2017-12-09
176,성동구 서울옥정초등학교,2020-08-30
177,성동구 서울용답초등학교,2018-04-30
178,성동구 서울응봉초등학교,2020-08-30
179,성동구 서울행당초등학교,2018-08-19
180,성동구 서울행현초등학교,2017-10-18
