,시군구명,설치연도,데이터기준일자
0,광진구,2020.0,2022-03-04
1,광진구,2021.0,2022-03-04
2,광진구,2020.0,2022-03-04
3,광진구,2020.0,2022-03-04
4,광진구,2020.0,2022-03-04
5,광진구,2021.0,2022-03-04
6,광진구,2021.0,2022-03-04
7,광진구,2021.0,2022-03-04
8,광진구,2021.0,2022-03-04
9,광진구,2021.0,2022-03-04
10,광진구,2021.0,2022-03-04
11,광진구,2021.0,2022-03-04
12,광진구,2021.0,2022-03-04
13,광진구,2021.0,2022-03-04
14,광진구,2021.0,2022-03-04
15,광진구,2021.0,2022-03-04
16,광진구,2021.0,2022-03-04
17,광진구,2021.0,2022-03-04
18,광진구,2021.0,2022-03-04
19,광진구,2021.0,2022-03-04
20,광진구,2021.0,2022-03-04
21,광진구,2021.0,2022-03-04
22,광진구,2021.0,2022-03-04
23,광진구,2021.0,2022-03-04
24,광진구,2021.0,2022-03-04
25,광진구,2021.0,2022-03-04
26,광진구,2021.0,2022-03-04
27,광진구,2021.0,2022-03-04
28,광진구,2021.0,2022-03-04
29,광진구,2021.0,2022-03-04
30,광진구,2021.0,2022-03-04
31,광진구,2021.0,2022-03-04
32,광진구,2021.0,2022-03-04
33,광진구,2021.0,2022-03-04
34,광진구,2021.0,2022-03-04
35,광진구,2021.0,2022-03-04
36,광진구,2021.0,2022-03-04
37,광진구,2021.0,2022-03-04
38,광진구,2021.0,2022-03-04
39,광진구,2021.0,2022-03-04
40,광진구,2021.0,2022-03-04
41,광진구,2021.0,2022-03-04
42,광진구,2020.0,2022-03-04
43,광진구,2020.0,2022-03-04
44,광진구,2020.0,2022-03-04
45,광진구,2019.0,2022-03-04
46,광진구,2020.0,2022-03-04
47,광진구,2019.0,2022-03-04
48,광진구,2020.0,2022-03-04
49,광진구,2019.0,2022-03-04
266,강서구,2020.0,2021-03-19
267,강서구,2020.0,2021-03-19
268,강서구,2020.0,2021-03-19
269,강서구,2020.0,2021-03-19
270,강서구,2020.0,2021-03-19
271,강서구,2020.0,2021-03-19
272,강서구,2020.0,2021-03-19
273,강서구,2020.0,2021-03-19
274,강서구,2020.0,2021-03-19
275,강서구,2020.0,2021-03-19
276,강서구,2020.0,2021-03-19
277,강서구,2020.0,2021-03-19
278,강서구,2020.0,2021-03-19
279,강서구,2020.0,2021-03-19
280,강서구,2020.0,2021-03-19
281,강서구,2020.0,2021-03-19
282,강서구,2020.0,2021-03-19
283,강서구,2020.0,2021-03-19
284,강서구,2020.0,2021-03-19
285,강서구,2020.0,2021-03-19
955,서대문구,2017.0,2021-08-17
956,서대문구,2017.0,2021-08-17
957,서대문구,2017.0,2021-08-17
958,서대문구,2017.0,2021-08-17
1334,광진구,2020.0,2022-03-04
1965,강서구,2020.0,2021-03-19
1966,강서구,2020.0,2021-03-19
1967,강서구,2020.0,2021-03-19
1968,강서구,2020.0,2021-03-19
1969,강서구,2020.0,2021-03-19
1970,강서구,2020.0,2021-03-19
1971,강서구,2020.0,2021-03-19
1972,강서구,2020.0,2021-03-19
1973,강서구,2020.0,2021-03-19
1974,강서구,2020.0,2021-03-19
1975,강서구,2020.0,2021-03-19
1976,강서구,2020.0,2021-03-19
1977,강서구,2020.0,2021-03-19
1978,강서구,2020.0,2021-03-19
1979,강서구,2020.0,2021-03-19
1980,강서구,2020.0,2021-03-19
1981,강서구,2020.0,2021-03-19
1982,강서구,2020.0,2021-03-19
1983,강서구,2020.0,2021-03-19
2040,강서구,2020.0,2021-03-19
2058,강서구,2020.0,2021-03-19
2059,강서구,2020.0,2021-03-19
2060,강서구,2020.0,2021-03-19
2061,강서구,2020.0,2021-03-19
2062,강서구,2020.0,2021-03-19
2063,강서구,2020.0,2021-03-19
2064,강서구,2020.0,2021-03-19
2065,강서구,2020.0,2021-03-19
2066,강서구,2020.0,2021-03-19
2067,강서구,2020.0,2021-03-19
2068,강서구,2020.0,2021-03-19
2069,강서구,2020.0,2021-03-19
2070,강서구,2020.0,2021-03-19
2071,강서구,2020.0,2021-03-19
2072,강서구,2020.0,2021-03-19
2073,강서구,2020.0,2021-03-19
2074,강서구,2020.0,2021-03-19
5984,광진구,2020.0,2022-03-04
5985,광진구,2020.0,2022-03-04
5986,광진구,2020.0,2022-03-04
5987,광진구,2020.0,2022-03-04
5988,광진구,2020.0,2022-03-04
5989,광진구,2020.0,2022-03-04
5990,광진구,2020.0,2022-03-04
5991,광진구,2020.0,2022-03-04
5992,광진구,2020.0,2022-03-04
5993,광진구,2020.0,2022-03-04
5994,광진구,2020.0,2022-03-04
5995,광진구,2020.0,2022-03-04
5996,광진구,2020.0,2022-03-04
5997,광진구,2020.0,2022-03-04
5998,광진구,2020.0,2022-03-04
5999,광진구,2020.0,2022-03-04
6000,광진구,2020.0,2022-03-04
6001,광진구,2020.0,2022-03-04
6002,광진구,2020.0,2022-03-04
6003,광진구,2020.0,2022-03-04
6004,광진구,2020.0,2022-03-04
6005,광진구,2020.0,2022-03-04
6006,광진구,2020.0,2022-03-04
6007,광진구,2020.0,2022-03-04
6008,광진구,2020.0,2022-03-04
6009,광진구,2020.0,2022-03-04
6010,광진구,2020.0,2022-03-04
6011,광진구,2020.0,2022-03-04
6012,광진구,2020.0,2022-03-04
6013,광진구,2020.0,2022-03-04
6014,광진구,2020.0,2022-03-04
6015,광진구,2020.0,2022-03-04
6016,광진구,2020.0,2022-03-04
6017,광진구,2020.0,2022-03-04
6018,광진구,2020.0,2022-03-04
6019,광진구,2020.0,2022-03-04
6020,광진구,2020.0,2022-03-04
6021,광진구,2020.0,2022-03-04
6022,광진구,2020.0,2022-03-04
6023,광진구,2020.0,2022-03-04
6024,광진구,2020.0,2022-03-04
6025,광진구,2020.0,2022-03-04
6026,광진구,2020.0,2022-03-04
6027,광진구,2020.0,2022-03-04
6028,광진구,2020.0,2022-03-04
6029,광진구,2020.0,2022-03-04
6030,광진구,2020.0,2022-03-04
6031,광진구,2020.0,2022-03-04
6032,광진구,2020.0,2022-03-04
6033,광진구,2020.0,2022-03-04
6034,광진구,2020.0,2022-03-04
6035,광진구,2020.0,2022-03-04
6036,광진구,2020.0,2022-03-04
6037,광진구,2020.0,2022-03-04
6038,광진구,2020.0,2022-03-04
6039,광진구,2020.0,2022-03-04
6040,광진구,2020.0,2022-03-04
6041,광진구,2020.0,2022-03-04
6042,광진구,2020.0,2022-03-04
6043,광진구,2020.0,2022-03-04
6044,광진구,2020.0,2022-03-04
6045,광진구,2020.0,2022-03-04
6046,광진구,2020.0,2022-03-04
6047,광진구,2020.0,2022-03-04
6048,광진구,2020.0,2022-03-04
6049,광진구,2020.0,2022-03-04
6050,광진구,2020.0,2022-03-04
6051,광진구,2020.0,2022-03-04
6052,광진구,2020.0,2022-03-04
6053,광진구,2020.0,2022-03-04
6054,광진구,2020.0,2022-03-04
6055,광진구,2020.0,2022-03-04
6056,광진구,2020.0,2022-03-04
6057,광진구,2020.0,2022-03-04
6058,광진구,2020.0,2022-03-04
6059,광진구,2020.0,2022-03-04
6060,광진구,2020.0,2022-03-04
6061,광진구,2020.0,2022-03-04
6062,광진구,2020.0,2022-03-04
6063,광진구,2020.0,2022-03-04
6064,광진구,2020.0,2022-03-04
6067,광진구,2020.0,2022-03-04
6068,광진구,2020.0,2022-03-04
6069,광진구,2020.0,2022-03-04
6070,광진구,2020.0,2022-03-04
6071,광진구,2020.0,2022-03-04
6072,광진구,2020.0,2022-03-04
6073,광진구,2020.0,2022-03-04
6074,광진구,2020.0,2022-03-04
6075,광진구,2020.0,2022-03-04
6076,광진구,2020.0,2022-03-04
6077,광진구,2020.0,2022-03-04
6078,광진구,2020.0,2022-03-04
6079,광진구,2020.0,2022-03-04
6080,광진구,2020.0,2022-03-04
6081,광진구,2020.0,2022-03-04
6082,광진구,2020.0,2022-03-04
6083,광진구,2020.0,2022-03-04
6084,광진구,2020.0,2022-03-04
6085,광진구,2020.0,2022-03-04
6086,광진구,2020.0,2022-03-04
6087,광진구,2020.0,2022-03-04
6088,광진구,2020.0,2022-03-04
6089,광진구,2020.0,2022-03-04
6090,광진구,2020.0,2022-03-04
6091,광진구,2020.0,2022-03-04
6390,강서구,2020.0,2021-03-19
6391,강서구,2020.0,2021-03-19
6392,강서구,2020.0,2021-03-19
6393,강서구,2020.0,2021-03-19
6394,강서구,2020.0,2021-03-19
6396,강서구,2020.0,2021-03-19
6397,강서구,2020.0,2021-03-19
6398,강서구,2020.0,2021-03-19
6399,강서구,2020.0,2021-03-19
6400,강서구,2020.0,2021-03-19
6401,강서구,2020.0,2021-03-19
6402,강서구,2020.0,2021-03-19
6403,강서구,2020.0,2021-03-19
6404,강서구,2020.0,2021-03-19
6405,강서구,2020.0,2021-03-19
6406,강서구,2020.0,2021-03-19
6407,강서구,2020.0,2021-03-19
6408,강서구,2020.0,2021-03-19
6409,강서구,2020.0,2021-03-19
6410,강서구,2020.0,2021-03-19
6411,강서구,2020.0,2021-03-19
6412,강서구,2020.0,2021-03-19
6413,강서구,2020.0,2021-03-19
6414,강서구,2020.0,2021-03-19
6415,강서구,2020.0,2021-03-19
6416,강서구,2020.0,2021-03-19
6417,강서구,2020.0,2021-03-19
6418,강서구,2020.0,2021-03-19
6419,강서구,2020.0,2021-03-19
6420,강서구,2020.0,2021-03-19
6421,강서구,2020.0,2021-03-19
6422,강서구,2020.0,2021-03-19
6423,강서구,2020.0,2021-03-19
6424,강서구,2020.0,2021-03-19
6741,강서구,2020.0,2021-03-19
6742,강서구,2020.0,2021-03-19
6743,강서구,2020.0,2021-03-19
6744,강서구,2020.0,2021-03-19
6745,강서구,2020.0,2021-03-19
6746,강서구,2020.0,2021-03-19
6747,강서구,2020.0,2021-03-19
6748,강서구,2020.0,2021-03-19
6765,광진구,2020.0,2022-03-04
6766,광진구,2020.0,2022-03-04
6767,광진구,2020.0,2022-03-04
6768,광진구,2020.0,2022-03-04
6769,광진구,2020.0,2022-03-04
6770,광진구,2020.0,2022-03-04
6771,광진구,2020.0,2022-03-04
6772,광진구,2020.0,2022-03-04
6773,광진구,2020.0,2022-03-04
7219,강서구,2020.0,2021-03-19
7220,강서구,2020.0,2021-03-19
7221,강서구,2020.0,2021-03-19
7222,강서구,2020.0,2021-03-19
7223,강서구,2020.0,2021-03-19
7224,강서구,2020.0,2021-03-19
7225,강서구,2020.0,2021-03-19
7226,강서구,2020.0,2021-03-19
7227,강서구,2020.0,2021-03-19
7228,강서구,2020.0,2021-03-19
7229,강서구,2020.0,2021-03-19
7230,강서구,2020.0,2021-03-19
7231,강서구,2020.0,2021-03-19
7232,강서구,2020.0,2021-03-19
7233,강서구,2020.0,2021-03-19
7234,강서구,2020.0,2021-03-19
7235,강서구,2020.0,2021-03-19
7237,강서구,2020.0,2021-03-19
7238,강서구,2020.0,2021-03-19
7239,강서구,2020.0,2021-03-19
7240,강서구,2020.0,2021-03-19
7241,강서구,2020.0,2021-03-19
7242,강서구,2020.0,2021-03-19
7243,강서구,2020.0,2021-03-19
7244,강서구,2020.0,2021-03-19
7245,강서구,2020.0,2021-03-19
7246,강서구,2020.0,2021-03-19
7869,중구,2014.0,2021-10-21
