id,year_code,sido,gugun,address
0,21,서울특별시,강서구,화곡로 302
1,21,서울특별시,강서구,강서로5길 64
2,21,서울특별시,강서구,강서로 301
3,21,서울특별시,강서구,강서로 506
4,21,서울특별시,강서구, 허준로 209
5,21,서울특별시,강서구,허준로 175
6,21,서울특별시,관악구,쑥고개로55
7,21,서울특별시,관악구,관악로118
8,21,서울특별시,관악구,낙성대로24
9,21,서울특별시,관악구,봉천로 509
10,21,서울특별시,관악구,관악로 285
11,21,서울특별시,관악구,난곡로 66
12,21,서울특별시,관악구,난곡로 169
13,21,서울특별시,관악구,문성로 76
14,21,서울특별시,관악구,조원로66-1
15,21,서울특별시,관악구,문성로212
16,21,서울특별시,관악구,난우길 40
17,21,서울특별시,관악구,남부순환로 1537
18,21,서울특별시,관악구,성현로 117
19,21,서울특별시,관악구,남부순환로 2022
20,21,서울특별시,관악구,양녕로 30
21,21,서울특별시,관악구,은천로 61
22,21,서울특별시,관악구,봉천로 580
23,21,서울특별시,관악구,난곡로 53
24,21,서울특별시,관악구,문성로 91
25,21,서울특별시,관악구,신림로 114
26,21,서울특별시,관악구,신림로 111
27,21,서울특별시,관악구,호암로 518
28,21,서울특별시,관악구,쑥고개로55
29,21,서울특별시,관악구,난곡로 66
30,21,서울특별시,관악구,조원로 66-1
31,21,서울특별시,관악구,문성로 219
32,21,서울특별시,관악구,문성로 212
33,20,서울특별시,동작구, 사당동 266-1
34,20,서울특별시,동작구, 사당동 144-4
35,20,서울특별시,동작구, 사당동 1028-1
36,20,서울특별시,동작구, 사당동 265-29
37,20,서울특별시,동작구, 사당동 318-15
38,20,서울특별시,동작구, 사당동 1001-33
39,20,서울특별시,동작구, 사당동 1003-39
40,20,서울특별시,동작구, 사당동 266-1
41,20,서울특별시,동작구, 사당동 318-15
42,20,서울특별시,동작구, 사당동 1007-39
43,20,서울특별시,동작구, 사당동 147-53
44,20,서울특별시,동작구, 사당동 318-11
45,20,서울특별시,동작구, 사당동 152-9
46,20,서울특별시,동작구, 사당동 148-40
47,20,서울특별시,동작구, 사당동 316-37
48,20,서울특별시,동작구, 사당동 316-33
49,20,서울특별시,동작구, 사당동 300-26
50,20,서울특별시,동작구, 사당동 318-12
51,20,서울특별시,동작구, 사당로 286
52,20,서울특별시,동작구, 사당동 148-40
53,20,서울특별시,양천구,목동동로 235
54,20,서울특별시,양천구,오목로 98
55,20,서울특별시,양천구,남부순환로 432
56,20,서울특별시,양천구,신정이펜2로 30
57,20,서울특별시,양천구,등촌로 190
58,20,서울특별시,양천구,등촌로 204
59,20,서울특별시,양천구,등촌로 216
60,20,서울특별시,은평구, 가좌로 184
61,20,서울특별시,은평구, 가좌로 179
62,20,서울특별시,은평구, 백련산로 38
63,20,서울특별시,은평구, 불광로 136
