,loc,date
0,강서구 화곡로 302,2021-03-31
1,강서구 강서로5길 64,2021-03-31
2,강서구 강서로 301,2021-03-31
3,강서구 강서로 506,2021-03-31
4, 강서구 허준로 209,2021-03-31
5,강서구 허준로 175,2021-03-31
6,관악구 쑥고개로55,2021-03-31
7,관악구 관악로118,2021-03-31
8,관악구 낙성대로24,2021-03-31
9,관악구 봉천로 509,2021-03-31
10,관악구 관악로 285,2021-03-31
11,관악구 난곡로 66,2021-03-31
12,관악구 난곡로 169,2021-03-31
13,관악구 문성로 76,2021-03-31
14,관악구 조원로66-1,2021-03-31
15,관악구 문성로212,2021-03-31
16,관악구 난우길 40,2021-03-31
17,관악구 남부순환로 1537,2021-03-31
18,관악구 성현로 117,2021-03-31
19,관악구 남부순환로 2022,2021-03-31
20,관악구 양녕로 30,2021-03-31
21,관악구 은천로 61,2021-03-31
22,관악구 봉천로 580,2021-03-31
23,관악구 난곡로 53,2021-03-31
24,관악구 문성로 91,2021-03-31
25,관악구 신림로 114,2021-03-31
26,관악구 신림로 111,2021-03-31
27,관악구 호암로 518,2021-03-31
28,관악구 쑥고개로55,2021-03-31
29,관악구 난곡로 66,2021-03-31
30,관악구 조원로 66-1,2021-03-31
31,관악구 문성로 219,2021-03-31
32,관악구 문성로 212,2021-03-31
33, 동작구 사당동 266-1,2020-08-31
34, 동작구 사당동 144-4,2020-08-31
35, 동작구 사당동 1028-1,2020-08-31
36, 동작구 사당동 265-29,2020-08-31
37, 동작구 사당동 318-15,2020-08-31
38, 동작구 사당동 1001-33,2020-08-31
39, 동작구 사당동 1003-39,2020-08-31
40, 동작구 사당동 266-1,2020-08-31
41, 동작구 사당동 318-15,2020-08-31
42, 동작구 사당동 1007-39,2020-08-31
43, 동작구 사당동 147-53,2020-08-31
44, 동작구 사당동 318-11,2020-08-31
45, 동작구 사당동 152-9,2020-08-31
46, 동작구 사당동 148-40,2020-08-31
47, 동작구 사당동 316-37,2020-08-31
48, 동작구 사당동 316-33,2020-08-31
49, 동작구 사당동 300-26,2020-08-31
50, 동작구 사당동 318-12,2020-08-31
51, 동작구 사당로 286,2020-08-31
52, 동작구 사당동 148-40,2020-08-31
53,양천구 목동동로 235,2020-12-01
54,양천구 오목로 98,2020-12-01
55,양천구 남부순환로 432,2020-12-01
56,양천구 신정이펜2로 30,2020-12-01
57,양천구 등촌로 190,2020-12-01
58,양천구 등촌로 204,2020-12-01
59,양천구 등촌로 216,2020-12-01
60, 은평구 가좌로 184,2020-12-31
61, 은평구 가좌로 179,2020-12-31
62, 은평구 백련산로 38,2020-12-31
63, 은평구 불광로 136,2020-12-31
